id,Name,Description,Location,Address,Date,Hour,Image,Category,Cost,Organizer,Grupal,Weather 
19,"Snake, eastern indigo",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Amahusu,3703 Dwight Hill,5/26/2020,2:47 AM,http://dummyimage.com/147x218.png/5fa2dd/ffffff,Violet,$15.26,Virtus Global Dividend & Income Fund Inc.,1,24
20,Horned puffin,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Torino,5 Larry Place,8/28/2020,2:42 PM,http://dummyimage.com/161x232.bmp/dddddd/000000,Violet,$4.82,Concurrent Computer Corporation,1,27
21,Snowy owl,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Porsgrunn,86322 Elmside Park,11/27/2019,1:16 AM,http://dummyimage.com/178x158.jpg/dddddd/000000,Violet,$17.30,"PDF Solutions, Inc.",0,6
22,"Wallaby, red-necked","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Dyurtyuli,386 Maryland Plaza,2/18/2020,11:30 AM,http://dummyimage.com/111x191.png/dddddd/000000,Goldenrod,$18.11,"Delta Natural Gas Company, Inc.",1,13
23,Bush dog,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Cigadog,21 Summerview Hill,1/28/2020,1:58 AM,http://dummyimage.com/195x187.bmp/ff4444/ffffff,Green,$15.15,"Luby's, Inc.",1,10
24,"Stork, black-necked","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Lille,90 Larry Lane,11/13/2019,6:58 AM,http://dummyimage.com/236x141.bmp/5fa2dd/ffffff,Violet,$4.71,"D.R. Horton, Inc.",1,23
25,Steller's sea lion,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Duwe,7377 Loeprich Avenue,5/1/2020,8:42 AM,http://dummyimage.com/198x206.png/5fa2dd/ffffff,Green,$11.25,"Veritex Holdings, Inc.",1,35
26,"Crane, sarus","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Bununu Kasa,859 Chive Court,5/20/2020,3:35 PM,http://dummyimage.com/174x199.jpg/ff4444/ffffff,Teal,$14.23,"Stein Mart, Inc.",0,28
27,Common dolphin,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Ivyanyets,2662 Ridge Oak Place,8/10/2020,12:34 AM,http://dummyimage.com/146x204.jpg/dddddd/000000,Pink,$9.43,"United Rentals, Inc.",1,4
28,Northern phalarope,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Chibombo,2 Sutteridge Pass,3/21/2020,5:33 PM,http://dummyimage.com/152x172.bmp/dddddd/000000,Aquamarine,$12.51,"Akebia Therapeutics, Inc.",1,3
29,Prehensile-tailed porcupine,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Alofi,4 Jackson Park,10/20/2019,11:17 AM,http://dummyimage.com/230x184.png/cc0000/ffffff,Puce,$15.16,Entergy Corporation,0,0
30,"Gull, lava","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Oumé,0147 Eggendart Parkway,9/27/2020,5:41 PM,http://dummyimage.com/218x186.png/ff4444/ffffff,Orange,$15.25,China Xiniya Fashion Limited,0,29
